CLAVE DE CENTRO,NOMBRE DEL CENTRO DE TRABAJO,TIPO DE INMUEBLE,SUB TIPO DE INMUEBLE,ALUMNOS DE LA ESCUELA,NOMBRE DE CALLE,NUMERO EXTERIOR,ENTRE CALLE,Y CALLE,CALLE POSTERIOR,CODIGO POSTAL,ESTADO,MUNICIPIO,LOCALIDAD,EDOMUN,EDOMUNLOC,TIPO DE ZONA RURAL-URBANO,LONGITUD,LATITUD,TURNO
14DPR2512N,EMILIANO ZAPATA,PRIMARIA,GENERAL,196,EMILIANO ZAPATA,10,0,0,NINGUNO,45659,JALISCO,TLAJOMULCO DE ZÚÑIGA,EL REFUGIO,14097,140970028,RURAL,-103.289551,20.52677,MATUTINO
14DPR3990U,GONZALO CHAPELA Y BLANCO,PRIMARIA,GENERAL,457,ALAMEDA DEL ALAMO,469,ALAMEDA DEL ALAMO,ALAMEDA DEL UBANO,CALLE TULE,45679,JALISCO,TLAJOMULCO DE ZÚÑIGA,LA ALAMEDA,14097,140970115,URBANA,-103.252742,20.504572,MATUTINO
14DPR4057B,LUIS DONALDO COLOSIO MURRIETA,PRIMARIA,GENERAL,290,LOMA DORADA,35,LOMA AZUL,A SAN MARTIN DE LAS FLORES,NINGUNO,45694,JALISCO,EL SALTO,SAN JOSÉ EL VERDE (EL VERDE),14070,140700021,URBANA,-103.284269,20.568771,MATUTINO
14DPR4062N,IGNACIO ZARAGOZA,PRIMARIA,GENERAL,349,AGUSTIN DE LA ROSA,6,SANTA PAULA,NIÑOS HEROES,CALLE LAZARO CARDENAS,45690,JALISCO,EL SALTO,LAS PINTAS,14070,140700013,URBANA,-103.321,20.554937,MATUTINO
14DPR4188U,ALFREDO RAMON PLACENCIA JAUREGUI,PRIMARIA,GENERAL,427,CASTILLO DE BENAVENTE,0,NINGUNO,CASTILLO DE ATIENZA,CALLE CASTILLO DE ATIENZA,45685,JALISCO,EL SALTO,SAN JOSÉ DEL CASTILLO,14070,140700020,URBANA,-103.239848,20.525031,VESPERTINO
14EPR0649L,REVOLUCION,PRIMARIA,GENERAL,756,20 DE MAYO,6608,LAZARO CARDENAS,LAS TORRES,NINGUNO,45690,JALISCO,EL SALTO,LAS PINTAS,14070,140700013,URBANA,-103.325456,20.573412,MATUTINO
14EPR0786O,ENRIQUE GONZALEZ MARTINEZ,PRIMARIA,GENERAL,480,REVOLUCION,184,VENUSTIANO CARRANZA,JOSEFA ORTIZ DE DOMINGUEZ,CALLE SEGURIDAD SOCIAL,45694,JALISCO,EL SALTO,EL QUINCE (SAN JOSÉ EL QUINCE),14070,140700043,URBANA,-103.271956,20.549121,MATUTINO
14EPR0952W,JOSE DE JESUS GONZALEZ GALLO,PRIMARIA,GENERAL,248,JOSE VASCONCELOS,0,EMILIANO ZAPATA,FRANCISCO I. MADERO,CALLE SAN DIEGO,45694,JALISCO,EL SALTO,SAN JOSÉ EL VERDE (EL VERDE),14070,140700021,URBANA,-103.289607,20.551554,MATUTINO
14EPR1215F,JUAN PALOMAR Y ARIAS,PRIMARIA,GENERAL,237,AMAPOLAS,0,CASUARINAS,DE LAS BUGAMBILIAS,CALLE AMAPOLAS,45685,JALISCO,EL SALTO,LA ALAMEDA [FRACCIONAMIENTO],14070,140700064,URBANA,-103.242051,20.498418,MATUTINO
14EPR1217D,ROBERTO CUELLAR GARCIA,PRIMARIA,GENERAL,415,GIGANTERA,0,GIGANTERA,SIN REFERENCIA,CALLE LENTEJA,45610,JALISCO,TLAJOMULCO DE ZÚÑIGA,LA GIGANTERA,14097,140970880,RURAL,-103.363976,20.56725,MATUTINO
15DPR0852X,RAFAEL RAMIREZ,PRIMARIA,GENERAL,447,6,0,VALLE DE BRAVO,CHALCO,NINGUNO,57400,MÉXICO,NEZAHUALCÓYOTL,CIUDAD NEZAHUALCÓYOTL,15058,150580001,URBANA,-99.053574,19.420179,MATUTINO
15DPR1739K,BENITO JUAREZ,PRIMARIA,GENERAL,152,NIÑOS HÉROES,8,CUAUHTÉMOC,CANTA BRANA,NINGUNO,56270,MÉXICO,CHICONCUAC,CHICONCUAC DE JUÁREZ,15030,150300001,URBANA,-98.893132,19.558391,VESPERTINO
15DPR2703C,CIUDAD DE MEXICO,PRIMARIA,GENERAL,327,PRESIDENTE,0,TEXCOCO,BRANDY CHEVERNY,NINGUNO,56330,MÉXICO,CHIMALHUACÁN,CHIMALHUACÁN,15031,150310001,URBANA,-98.928863,19.429133,VESPERTINO
15DPR3114V,PROFRA. YOLANDA CUERVO TOLEDANO,PRIMARIA,GENERAL,119,PASEO DE LAS QUINTAS,64,DE LOS PUENTES,NINGUNO,NINGUNO,56530,MÉXICO,IXTAPALUCA,SAN BUENAVENTURA,15039,150390003,URBANA,-98.851608,19.304188,VESPERTINO
